"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2024","884.00","884.00","884.00","884.00","","0.03%"
"03/15/2024","883.75","883.75","883.75","883.75","","-0.28%"
"03/14/2024","886.25","886.25","886.25","886.25","","1.34%"
"03/13/2024","874.50","874.50","874.50","874.50","0.48K","1.07%"
"03/12/2024","865.25","865.25","865.25","865.25","","0.26%"
"03/11/2024","863.00","863.00","863.00","863.00","","0.82%"
"03/08/2024","856.00","856.00","856.00","856.00","","0.71%"
"03/07/2024","850.00","850.00","850.00","850.00","","0.03%"
"03/06/2024","849.75","849.75","849.75","849.75","0.08K","1.74%"
"03/05/2024","835.25","835.25","835.25","835.25","","1.06%"
"03/04/2024","826.50","826.50","826.50","826.50","","-0.45%"
"03/01/2024","830.25","830.25","830.25","830.25","0.82K","2.41%"
"02/29/2024","810.75","810.75","810.75","810.75","","0.09%"
"02/28/2024","810.00","810.00","810.00","810.00","","0.00%"
"02/27/2024","810.00","810.00","810.00","810.00","","0.22%"
"02/26/2024","808.25","808.25","808.25","808.25","","0.06%"
"02/23/2024","807.75","807.75","807.75","807.75","","0.19%"
"02/22/2024","806.25","806.25","806.25","806.25","","-0.15%"
"02/21/2024","807.50","807.50","807.50","807.50","","-0.03%"
"02/20/2024","807.75","807.75","807.75","807.75","","0.56%"
"02/16/2024","803.25","803.25","803.25","803.25","","-0.16%"
"02/15/2024","804.50","804.50","804.50","804.50","","-1.14%"
"02/14/2024","813.75","813.75","813.75","813.75","","0.46%"
"02/13/2024","810.00","810.00","810.00","810.00","","0.62%"
"02/12/2024","805.00","805.00","805.00","805.00","","0.00%"
"02/09/2024","805.00","805.00","805.00","805.00","","0.16%"
"02/08/2024","803.75","803.75","803.75","803.75","","-0.03%"
"02/07/2024","804.00","804.00","804.00","804.00","","0.50%"
"02/06/2024","800.00","800.00","800.00","800.00","","0.76%"
"02/05/2024","794.00","794.00","794.00","794.00","","0.35%"
"02/02/2024","791.25","791.25","791.25","791.25","","-0.97%"
"02/01/2024","799.00","799.00","799.00","799.00","","-2.05%"
"01/31/2024","815.75","815.75","815.75","815.75","","-0.06%"
"01/30/2024","816.25","816.25","816.25","816.25","","-0.24%"
"01/29/2024","818.25","818.25","818.25","818.25","","-0.27%"
"01/26/2024","820.50","820.50","820.50","820.50","","0.12%"
"01/25/2024","819.50","819.50","819.50","819.50","","0.00%"
"01/24/2024","819.50","819.50","819.50","819.50","","0.31%"
"01/23/2024","817.00","817.00","817.00","817.00","","0.21%"
"01/22/2024","815.25","815.25","815.25","815.25","","-0.31%"
"01/19/2024","817.75","817.75","817.75","817.75","","0.43%"
"01/18/2024","814.25","814.25","814.25","814.25","","0.84%"
"01/17/2024","807.50","807.50","807.50","807.50","","-0.86%"
